    271 ascii with confidence 1.0
      1 windows-1251 with confidence 0.983958769821122
      1 windows-1251 with confidence 0.9841565453372815
      1 windows-1251 with confidence 0.9846846833329083
      1 windows-1251 with confidence 0.9848002034215536
      1 windows-1251 with confidence 0.9851621346343815
      1 windows-1251 with confidence 0.985199431244501
      1 windows-1251 with confidence 0.9853535071420602
      1 windows-1251 with confidence 0.9854818149869806
      1 windows-1251 with confidence 0.9854836373035745
      1 windows-1251 with confidence 0.9855202715451296
      1 windows-1251 with confidence 0.9855651698501896
      1 windows-1251 with confidence 0.9856807133868541
      1 windows-1251 with confidence 0.9856807666896783
      1 windows-1251 with confidence 0.985765563569461
      1 windows-1251 with confidence 0.9857959902353626
      1 windows-1251 with confidence 0.9858115053901009
      1 windows-1251 with confidence 0.9860505267131643
      1 windows-1251 with confidence 0.9860545346214878
      1 windows-1251 with confidence 0.9861119592370547
      1 windows-1251 with confidence 0.9862167969528074
      1 windows-1251 with confidence 0.9862616798796808
      1 windows-1251 with confidence 0.9862935461344717
